Time, Temperature(C), Humidity(%) 
1396430655.72, 25.33, 44.24
1396430656.09, 25.11, 44.24
1396430656.1, 25.33, 44.24
1396430656.24, 25.11, 44.24
1396430656.25, 25.33, 44.24
1396430656.27, 25.11, 44.24
1396430656.28, 25.33, 44.24
1396430656.29, 25.11, 44.24
1396430656.3, 25.33, 44.24
1396430656.45, 25.11, 44.24
1396430656.46, 25.33, 44.24
1396430656.56, 25.11, 44.24
1396430656.57, 25.33, 44.24
1396430656.63, 25.11, 44.24
1396430656.64, 25.33, 44.24
1396430656.65, 25.11, 44.24
1396430656.66, 25.33, 44.24
1396430656.8, 25.11, 44.24
1396430656.81, 25.33, 44.24
1396430656.88, 25.11, 44.24
1396430656.89, 25.33, 44.24
1396430656.95, 25.11, 44.24
1396430656.96, 25.33, 44.24
1396430657.01, 25.11, 44.24
1396430657.02, 25.33, 44.24
1396430657.12, 25.11, 44.24
1396430657.12, 25.33, 44.24
1396430657.31, 25.11, 44.24
1396430657.32, 25.33, 44.24
1396430657.46, 25.11, 44.24
1396430657.47, 25.33, 44.24
1396430658.17, 25.11, 44.24
1396430658.18, 25.33, 44.24
1396430658.22, 25.11, 44.24
1396430658.23, 25.33, 44.24
1396430658.7, 25.11, 44.24
1396430658.72, 25.33, 44.24
1396430659.05, 25.11, 44.24
1396430659.06, 25.33, 44.24
1396430659.44, 25.11, 44.24
1396430659.45, 25.33, 44.24
1396430661.93, 25.11, 44.24
1396430661.94, 25.33, 44.24
